term1,term2,mapping
information,theory,Information Theory
learning,theory,Learning Theory
neural,network,Early ML Architectures
hopfield,network,Early ML Architectures
boltzmann,machine,Early ML Architectures
quantum,mechanics,Quantum Mechanics
measure,probability,Mathematical Foundations
category,tensor,Category Theory
richness,training,Learning Theory
randomized,numerical,Numerical Methods 
